"id","questionid","answercorrect","correct"
7,5,My,true
8,6,-,true
9,7,me,true
10,8,that,true
11,9,does,true
12,10,There,true
13,11,much,true
14,12,Her,true
15,13,at home,true
16,14,having,true
17,15,give,true
18,16,What,true
19,17,to,true
20,18,can,true
21,19,were,true
22,20,last,true
23,21,left,true
24,22,is going,true
25,23,often,true
26,24,nicer,true
27,25,worst,true
28,26,have I seen,true
29,27,As it isn't raining,true
30,28,We will,true
31,29,rather,true
32,30,a little,true
33,31,had been closed,true
34,32,won`t,true
35,33,was not,true
36,34,aren't allowed,true
37,35,to take,true
38,36,love,true
39,37,"2 weeks from now",true
40,38,could,true
41,39,was cooked,true
42,40,might,true
43,41,you will have had,true
44,42,Before,true
45,43,since,true
46,44,would have,true
47,45,unless,true
48,46,since,true
49,47,had not seen,true
50,48,was told,true
51,49,used,true
52,50,to phone,true
53,51,whose idea it was,true
54,52,to have his car repaired,true
55,53,weren't,true
56,54,must have been,true
57,55,could have been,true
58,56,had,true
59,57,moon,true
60,58,earth,true
61,59,laugh,true
62,60,Take them off!,true
63,2,get,true
64,3,sit,true
65,4,people,true
6,1,are,true
